№,Hours,Minutes,Seconds,Microseconds
177,19,10,17,159427
178,19,10,17,264735
179,19,10,17,368295
180,19,10,17,469316
181,19,10,17,569862
182,19,10,17,672597
183,19,10,17,777881
184,19,10,17,883176
185,19,10,17,988470
186,19,10,18,93776
187,19,10,18,196260
188,19,10,18,297195
189,19,10,18,400441
190,19,10,18,505705
191,19,10,18,610944
192,19,10,18,716251
193,19,10,18,821587
194,19,10,18,925332
195,19,10,19,30604
196,19,10,19,135781
197,19,10,19,240912
198,19,10,19,341360
199,19,10,19,442900
200,19,10,19,544193
201,19,10,19,649510
202,19,10,19,754411
203,19,10,19,856534
204,19,10,19,961668
205,19,10,20,66804
206,19,10,20,167207
207,19,10,20,272503
208,19,10,20,377762
209,19,10,20,482197
210,19,10,20,583720
211,19,10,20,688977
212,19,10,20,793893
213,19,10,20,899194
214,19,10,21,3488
215,19,10,21,107360
216,19,10,21,210849
217,19,10,21,316152
218,19,10,21,417039
219,19,10,21,522299
220,19,10,21,627564
221,19,10,21,729157
222,19,10,21,833843
223,19,10,21,939145
224,19,10,22,42173
225,19,10,22,144650
226,19,10,22,248846
227,19,10,22,350053
228,19,10,22,454653
229,19,10,22,559920
230,19,10,22,663759
231,19,10,22,769054
232,19,10,22,872546
233,19,10,22,977874
234,19,10,23,79555
235,19,10,23,183890
236,19,10,23,288953
237,19,10,23,392113
238,19,10,23,497933
239,19,10,23,600487
240,19,10,23,705715
241,19,10,23,810620
242,19,10,23,912622
243,19,10,24,17131
244,19,10,24,122359
245,19,10,24,223079
246,19,10,24,325418
247,19,10,24,429879
248,19,10,24,535017
249,19,10,24,640159
250,19,10,24,742217
251,19,10,24,844387
252,19,10,24,949503
253,19,10,25,54596
254,19,10,25,158949
255,19,10,25,259464
256,19,10,25,360620
257,19,10,25,464957
258,19,10,25,570261
259,19,10,25,675564
260,19,10,25,780936
261,19,10,25,885108
262,19,10,25,988635
263,19,10,26,92620
264,19,10,26,197858
265,19,10,26,303104
266,19,10,26,406673
267,19,10,26,509028
268,19,10,26,613472
269,19,10,26,718726
270,19,10,26,822412
271,19,10,26,927728
272,19,10,27,33021
273,19,10,27,134600
274,19,10,27,238886
275,19,10,27,339345
276,19,10,27,444734
277,19,10,27,550156
278,19,10,27,651898
279,19,10,27,757195
280,19,10,27,858943
281,19,10,27,964201
282,19,10,28,67469
283,19,10,28,172443
284,19,10,28,277677
285,19,10,28,378710
286,19,10,28,484146
287,19,10,28,588089
288,19,10,28,692079
289,19,10,28,797372
290,19,10,28,901560
291,19,10,29,6869
292,19,10,29,108199
293,19,10,29,209368
294,19,10,29,310979
295,19,10,29,416332
296,19,10,29,521586
297,19,10,29,627106
298,19,10,29,732439
299,19,10,29,837663
300,19,10,29,938755
